UPSTREAM_FEED_ID,SHELF,MNEMONIC,EXTENSION,CSA_ID,VALUE_DATE,ENTITYAGROUP_TRADE_REF,DOD_ENTITYAGROUP_TRADE_REF,OPS_FILE_NUMBER,CE_MARGIN_AGREEMENT_ID,ENTITYAGROUP_ENTITY_NAME,ENTITYAGROUP_ENTITY_ACCOUNT,CLIENT_TRADE_REF,CLIENT_ENTITY_NAME,CLIENT_ACCOUNT,PRODUCT_NAME,TRADE_DATE,MATURITY_DATE,EFFECTIVE_DATE,STRATEGY_CODE,PAY_SIDE_NOTIONAL_CCY_CODE,PAY_SIDE_NOTIONAL,RECEIVE_SIDE_NOTIONAL_CCY_CODE,RECEIVE_SIDE_NOTIONAL,NOTIONAL_CCY_CODE,NOTIONAL,PV_VALUE_DATE,PV_CCY_CODE,PV,PV_USD,PREVIOUS_VALUE_DATE_PV,PV_AMOUNT_DIFFERENCE,PV_PERCENT_DIFFERENCE,INDEPENDENT_AMOUNT_CCY_CODE,INDEPENDENT_AMOUNT,STRIKE_RATE,STRIKE_PRICE_CCY_CODE,INTEREST_RATE,PAY_SIDE_ACCRUAL_RATE,RECEIVE_SIDE_ACCRUAL_RATE,UNDERLYER_ID,UNDERLYER_DESCRIPTION,ENTITYAGROUP_POSITION,PUT_CALL,PRODUCT_PROCESSOR_NAME,PRODUCT_PROCESSOR_ID,MIRROR_TRANSACTION_ID,STRATEGY_NAME,STRATEGY_CONTACT,LOCATION,SENIOR_CONTACT,STRUCTURE_TRADE_REF,SWAPSWIRE_ID,NOTIONAL_CCY_CODE2,NOTIONAL2,Start Date,End Date,UOM,Phys Fin,Commodity Product Name        ,Delivery Location,APAR,Fixed Price,Leg1 Annual Nominal,Leg2 Annual Nominal,Leg1 Fixed Float Ind,Leg2 Fixed Float Ind,Basic Amount Value USD,Trader Id,Trader,Sales Person,Confirmation Status,CPIdentifier,USI,ENTITYALegalEntityIdentifier,CPLegalEntityIdentifier,UniqueProductIdentifier,SourceSystemTradeID,SpotPrice,TerminationFee,TerminationFeeDate,CPNameSourceSystem,CPShortNameSourceSystem       ,CurrentNotional,CurrentNotionalCurrency,OriginalAggregatedQty,ExternalMatchID,GroupTradeID,PremiumAmount,PremiumDate,InitialNotional,InitialNotionalCurrency,TradedSpread,InitialPrice,Regulator,USPersonFlag,USIPrefix,UTI,UTIPrefix,NumberOfContracts,PTH FLAG
,,,,BA-00001,,A-4200001,,,,EntityA,,,EntityB,,Interest Rate - Swap,09/03/2018,09/03/2028,09/05/2018,,,,,,EUR,10900000,09/27/2018,EUR,67156.93551,78573.61455,,,,,,,,,,,,,Payer,,,,,,,,,,,EUR,10900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BA-00001,,A-2200001,,,,EntityA,,,EntityB,,Interest Rate - Swap Basis,08/30/2018,08/30/2024,09/01/2018,,,,,,EUR,10000000,09/27/2018,EUR,1409752.066,1649409.917,,,,,,,,,,,,,Payer,,,,,,,,,,,EUR,10000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BA-00001,,A-2200002,,,,EntityA,,,EntityB,,Cross Currency - Swap,08/30/2018,08/30/2022,09/01/2018,,,,,,USD,5000000,09/27/2018,USD,43377.8114,43377.8114,,,,,,,,,,,,,Receiver,,,,,,,,,,,EUR,4273504.274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BA-00001,,A-2200003,,,,EntityA,,,EntityB,,Interest Rate - Swap,08/30/2018,08/30/2021,09/01/2018,,,,,,GBP,20000000,09/27/2018,GBP,-82411.90602,-106311.3588,,,,,,,,,,,,,Payer,,,,,,,,,,,GBP,20000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BA-00001,,A-2200004,,,,EntityA,,,EntityB,,Interest Rate - Swaption,08/30/2018,12/20/2020,09/01/2018,,,,,,EUR,15000000,09/27/2018,EUR,-86669.20161,-101402.9659,,,,,,,,,,,,,Payer,Call,,,,,,,,,,EUR,15000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BA-00001,,A-1200015,,,,EntityA,,,EntityB,,Interest Rate - Swap Basis,01/14/2015,01/24/2020,01/16/2015,,,,,,EUR,704000000,09/27/2018,EUR,27944.34273,27664.8993,,,,,,,,,,,,,Payer,,,,,,,,,,,EUR,704000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BA-00001,,A-1200002,,,,EntityA,,,EntityB,,Cross Currency - Swap,04/21/2016,10/17/2019,04/25/2016,,,,,,SEK,875000000,09/27/2018,SEK,-35287.0373,-3860.726182,,,,,,,,,,,,,Receiver,,,,,,,,,,,EUR,83333333.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BA-00001,,A-1200007,,,,EntityA,,,EntityB,,Interest Rate - Swap,10/17/2013,10/17/2023,10/21/2013,,,,,,USD,985000000,09/27/2018,USD,17936.76988,17936.76988,,,,,,,,,,,,,Payer,,,,,,,,,,,USD,985000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BA-00001,,A-1200008,,,,EntityA,,,EntityB,,Interest Rate - Swap,11/18/2009,12/01/2025,11/20/2009,,,,,,CHF,709000000,09/27/2018,CHF,-5667.098986,-5724.34241,,,,,,,,,,,,,Receiver,,,,,,,,,,,CHF,709000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BA-00001,,A-1200010,,,,EntityA,,,EntityB,,Interest Rate - Swaption,12/17/2014,12/17/2021,12/19/2014,,,,,,USD,242000000,09/27/2018,USD,62055.78971,62055.78971,,,,,,,,,,,,,Payer,Put,,,,,,,,,,USD,242000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BA-00001,,A-1200009,,,,EntityA,,,EntityB,,Interest Rate - Swap,06/21/2010,12/21/2020,06/23/2010,,,,,,EUR,308000000,09/27/2018,EUR,-83051.40437,-95461.38434,,,,,,,,,,,,,Payer,,,,,,,,,,,EUR,308000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BA-00001,,A-1200012,,,,EntityA,,,EntityB,,Interest Rate - Swaption,12/31/2015,12/31/2026,01/04/2016,,,,,,GBP,172000000,09/27/2018,GBP,-78889.10751,-101139.8814,,,,,,,,,,,,,Receiver,Put,,,,,,,,,,GBP,172000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BA-00001,,A-1200014,,,,EntityA,,,EntityB,,Interest Rate - Swap Basis,02/09/2009,02/25/2019,02/11/2009,,,,,,USD,891000000,09/27/2018,USD,30925.2502,30925.2502,,,,,,,,,,,,,Payer,,,,,,,,,,,USD,891000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BA-00001,,A-1200001,,,,EntityA,,,EntityB,,Cross Currency - Swap,03/19/2018,03/17/2022,03/21/2018,,,,,,ZAR,626000000,09/27/2018,ZAR,44392.95319,3170.925228,,,,,,,,,,,,,Payer,,,,,,,,,,,USD,44714285.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BA-00001,,A-1200003,,,,EntityA,,,EntityB,,Cross Currency - Swap,05/25/2015,05/25/2020,05/27/2015,,,,,,USD,41000000,09/27/2018,USD,10323.9148,10323.9148,,,,,,,,,,,,EIB,Payer,,,,,,,,,,,PLN,11081081.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BA-00001,,A-1200004,,,,EntityA,,,EntityB,,FX - Swap,06/03/2014,06/03/2013,06/05/2014,,,,,,USD,401000000,09/27/2018,USD,-75098.32878,-75098.32878,,,,,,1.25,,,,,,,,,,,,,,,,,,CHF,396990000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BA-00001,,A-1200006,,,,EntityA,,,EntityB,,FX - Swap,07/07/2011,07/08/2019,07/11/2011,,,,,,EUR,759000000,09/27/2018,EUR,609.470609,700.5409299,,,,,,3.2,,,,,,,,,,,,,,,,,,AUD,1206810000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BA-00001,,A-1200011,,,,EntityA,,,EntityB,,Interest Rate - Swaption,08/16/2012,08/16/2024,08/20/2012,,,,,,EUR,315000000,09/27/2018,EUR,-97026.8486,-111525.1133,,,,,,,,,,,,,Receiver,Call,,,,,,,,,,EUR,315000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BA-00001,,A-1200005,,,,EntityA,,,EntityB,,FX - Swap,08/26/2015,08/22/2022,08/28/2015,,,,,,USD,253000000,09/27/2018,USD,-97857.90048,-97857.90048,,,,,,2.75,,,,,,,,,,,,,,,,,,GBP,197340000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BA-00001,,A-1200013,,,,EntityA,,,EntityB,,Interest Rate - Swap Basis,02/04/2008,08/24/2028,02/06/2008,,,,,,EUR,125000000,09/27/2018,EUR,90005.55496,103454.6609,,,,,,,,,,,,,Receiver,,,,,,,,,,,EUR,125000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BA-00001,,A-800016,,,,EntityA,,,EntityB,,Interest Rate - Swaption,09/01/2014,04/29/2030,09/03/2014,,,,,,GBP,70000000,09/27/2018,GBP,7144489.618,9144946.711,,,,,,,,,,,,,Receiver,Put,,,,,,,,,,GBP,70000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BA-00001,,A-800017,,,,EntityA,,,EntityB,,Cross Currency - Swap,12/21/2012,09/19/2028,12/25/2012,,,,,,EUR,13000000,09/27/2018,EUR,-1313140.982,-1523243.539,,,,,,,,,,,,EIB,Receiver,,,,,,,,,,,GBP,11830000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BA-00001,,A-800018,,,,EntityA,,,EntityB,,FX - Swap,12/26/2016,10/29/2018,12/28/2016,,,,,,GBP,71000000,09/27/2018,GBP,-7830956.4,-10023624.19,,,,,,0.87,,,,,,,,,,,,,,,,,,DKK,585040000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BA-00001,,A-800019,,,,EntityA,,,EntityB,,Interest Rate - Swaption,05/15/2006,09/25/2028,05/17/2006,,,,,,NOK,10000000,09/27/2018,NOK,-437401.5694,-52488.18833,,,,,,,,,,,,,Receiver,Put,,,,,,,,,,NOK,10000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
