1,Agreement ID,Agreement Name,Trade Reference,Trade Date,Maturity Date,Exchanged Notional 1 Currency,Exchanged Notional 1 Amount,Exchanged Notional 2 Currency,Exchanged Notional 2 Amount,Product Type,Valuation Base Currency,Valuation Base Currency Amount,Valuation Date,Valuation Native Currency,Valuation Native Currency Amount,Effective Date,Buy/Sell,Put/Call,Strike Price,Underlying,Independent Amount Party A,Independent Amount Party B,Party A branch ID,Party A branch Name,Party B branch ID,Party B branch Name,ENTITYB_STATUS
2,BA-00001,BA-00001,B-4200001,03/09/2018,03/09/2028,EUR,10900000,EUR,10900000,Interest Rate - Swap,EUR,49504.04789,27/09/2018,EUR,57919.73603,05/09/2018,Receiver,,,,,,3645457,EntityB,983400120,EntityA,Active
3,BA-00001,BA-00001,B-2200001,30/08/2018,30/08/2024,EUR,10000000,EUR,10000000,Interest Rate - Swap Basis,USD,-17574.92243,27/09/2018,EUR,-20562.68377,01/09/2018,Receiver,,,,,,3645457,EntityB,983400120,EntityA,Active
4,BA-00001,BA-00001,B-2200002,30/08/2018,30/08/2022,USD,5000000,EUR,4273504,Cross Currency - Swap,USD,25368.25195,27/09/2018,USD,25368.25195,01/09/2018,Payer,,,,,,3645457,EntityB,983400120,EntityA,Active
5,BA-00001,BA-00001,B-2200003,30/08/2018,30/08/2021,GBP,20000000,GBP,20000000,Interest Rate - Swap,USD,38651.10558,27/09/2018,GBP,49859.97498,01/09/2018,Receiver,,,,,,3645457,EntityB,983400120,EntityA,Active
6,BA-00001,BA-00001,B-2200004,30/08/2018,20/12/2020,EUR,15000000,EUR,15000000,Interest Rate - Swaption,USD,-11916.95032,27/09/2018,EUR,-13942.7537,01/09/2018,Receiver,Call,,,,,3645457,EntityB,983400120,EntityA,Active
7,BA-00001,BA-00001,B-1200001,19/03/2018,17/03/2022,ZAR,626000000,USD,44714285,Cross Currency - Swap,USD,-7784.642095,27/09/2018,ZAR,-108985.0103,21/03/2018,Receiver,,,,,,3645457,EntityB,983400120,EntityA,Active
8,BA-00001,BA-00001,B-1200002,21/04/2016,17/10/2019,SEK,875000000,EUR,83333333,Cross Currency - Swap,USD,952.6602047,27/09/2018,SEK,8707.313724,25/04/2016,Payer,,,,,,3645457,EntityB,983400120,EntityA,Active
9,BA-00001,BA-00001,B-1200003,25/05/2015,25/05/2020,USD,41000000,PLN,11081081,Cross Currency - Swap,USD,-81057.38516,27/09/2018,USD,-81057.38516,27/05/2015,Receiver,,,EIB,,,3645457,EntityB,983400120,EntityA,Active
10,BA-00001,BA-00001,B-1200004,03/06/2014,03/06/2013,USD,401000000,CHF,396990000,FX - Swap,USD,54277.54332,27/09/2018,USD,54277.54332,05/06/2014,,,1.25,,,,3645457,EntityB,983400120,EntityA,Active
11,BA-00001,BA-00001,B-1200005,26/08/2015,22/08/2022,USD,253000000,GBP,197340000,FX - Swap,USD,54728.67106,27/09/2018,USD,54728.67106,28/08/2015,,,2.75,,,,3645457,EntityB,983400120,EntityA,Active
12,BA-00001,BA-00001,B-1200006,07/07/2011,08/07/2019,EUR,759000000,AUD,1206810000,FX - Swap,USD,-73078.82898,27/09/2018,EUR,-63578.58228,11/07/2011,,,3.2,,,,3645457,EntityB,983400120,EntityA,Active
13,BA-00001,BA-00001,B-1200007,17/10/2013,17/10/2023,USD,985000000,USD,985000000,Interest Rate - Swap,USD,5593.253863,27/09/2018,USD,5593.253863,21/10/2013,Receiver,,,,,,3645457,EntityB,983400120,EntityA,Active
14,BA-00001,BA-00001,B-1200008,18/11/2009,01/12/2025,CHF,709000000,CHF,709000000,Interest Rate - Swap,USD,-76202.83858,27/09/2018,CHF,-75440.80899,20/11/2009,Payer,,,,,,3645457,EntityB,983400120,EntityA,Active
15,BA-00001,BA-00001,B-1200009,21/06/2010,21/12/2020,EUR,308000000,EUR,308000000,Interest Rate - Swap,USD,-15744.65202,27/09/2018,EUR,-13697.84772,23/06/2010,Receiver,,,,,,3645457,EntityB,983400120,EntityA,Active
16,BA-00001,BA-00001,B-1200010,17/12/2014,17/12/2021,USD,242000000,USD,242000000,Interest Rate - Swaption,USD,35698.98493,27/09/2018,USD,35698.98493,19/12/2014,Receiver,Put,,,,,3645457,EntityB,983400120,EntityA,Active
17,BA-00001,BA-00001,B-1200011,16/08/2012,16/08/2024,EUR,315000000,EUR,315000000,Interest Rate - Swaption,USD,-66981.34994,27/09/2018,EUR,-58273.77196,20/08/2012,Payer,Call,,,,,3645457,EntityB,983400120,EntityA,Active
18,BA-00001,BA-00001,B-1200012,31/12/2015,31/12/2026,GBP,172000000,GBP,172000000,Interest Rate - Swaption,USD,80788.31527,27/09/2018,GBP,63014.90252,04/01/2016,Payer,Put,,,,,3645457,EntityB,983400120,EntityA,Active
19,BA-00001,BA-00001,B-1200013,04/02/2008,24/08/2028,EUR,125000000,EUR,125000000,Interest Rate - Swap Basis,USD,-59269.25474,27/09/2018,EUR,-51564.24869,06/02/2008,Payer,,,,,,3645457,EntityB,983400120,EntityA,Active
20,BA-00001,BA-00001,B-1200014,09/02/2009,25/02/2019,USD,891000000,USD,891000000,Interest Rate - Swap Basis,USD,74281.02855,27/09/2018,USD,74281.02855,11/02/2009,Receiver,,,,,,3645457,EntityB,983400120,EntityA,Active
